,Tittel,Abstrakt,Årstall
357,Mind The Gap: Decomposing the Credit Spread Puzzle : An empirical analysis of credit risk pricing in the Norwegian Corporate Bond Market in the period 2014-2023,"This thesis presents a comprehensive analysis of the credit spread puzzle in the Norwegian
corporate bond market, a topic that has been largely unexplored since 2015. Focusing
on the period from 2014 to 2023, we aim to ...",2023
364,"The Effect of Credit Constraints on External Financial Support: Implications for Young Home Buyers in Norway : An empirical study of how the Norwegian Financial Supervisory Authority’s introduction of a down payment requirement affected “curling”, an external form of financial support for young homebuyers, in the period 2005 - 2020","In this study, the effect of the Norwegian Financial Supervisory Authority’s introduction
of a down payment requirement on the extent of parental help young people received to
access the housing market in Norway, a ...",2023
371,Board of Director’s influence on Innovation in Established Firms : An Exploratory Study,This thesis aims to explore how boards of directors in established firms facilitate innovation through exerting specific activities. We explore this phenomenon by conducting interviews with key informants who serve as board ...,2023
373,Sustainable Supply Chain Management in the Face of Climate Change : Estimating the Impact of Temperature and Precipitation Changes on Brazilian Soybean Yield,"While climate change is known to pose a variety of highly relevant economic risks, there are
still many probable implications and economic fields with a lack of available data and
research. This thesis explores the ...",2023
377,Why constrain yourself? A cross-industry analysis of Internal Carbon Pricing in relation to the regulatory framework.,"This paper investigates the reasons that lead companies to introduce Internal Carbon
Pricing as a way to internalize the impact of their GHG emissions in their processes. In
order to do this, the usage of Internal Carbon ...",2023
378,An Exploration of Human Rights and the Capability Approach : A case study of Elkjøp’s supply chain in China,"Both human rights and supply chains have greatly changed with the advent of modern society
with the accompanying technology and globalization. This thesis explores how companies'
values complies with both conditions in ...",2023
380,The Dilution Effect: A Barrier to Sustainable Consumption in B2B Markets? An Experimental Study of B2B Decision-Makers' Evaluation of a Sustainable Printer,"Previous research indicates that individuals have a tendency to perceive sustainable and
functional attributes as mutually exclusive, even if this perception does not objectively reflect
reality. This misconception can ...",2023
382,Green ammonia shipping: Adapting established value-chains to fuel the future of clean maritime transport: A qualitative market study focusing on the barriers and facilitators of green ammonia as a clean fuel in the proposed hydrogen economy.,"In this paper, through semi-structured interviews, we have conducted a qualitative study to
understand key challenges and drivers to implementing green ammonia as a fuel alternative for
the shipping sector. Low and zero ...",2023
386,"Norway: A War Profiteer or Equitable Market Participant?"" How much of Norway’s 2022 natural gas export revenues to the EU can be explained by the influence of the Russia-Ukraine conflict on natural gas prices using Russian supply shortfall of pipeline gas as a proxy . A Structural VAR Approach","On the 24th of February 2022, Russia invaded Ukraine. The following months were
characterized by major supply disruptions of Russian pipeline gas, soaring prices, and record
revenues for Norwegian natural gas exports. ...",2023
393,Sustainability-Linked Debt in Shipping  : A study on the effects of SLD on shipowners’ cost of capital,"This study analyzes whether issuing sustainability-linked debt (SLD) reduces shipowners’ cost of capital. In light of the existing research on green bonds indicating increased investor appetite for sustainability, along ...",2023
394,Analysing the gender wage gap Empirical evidence from Germany and the United States,"The main objective of this thesis is to investigate the potential sources of the gender wage gap
in Germany and the United States. For that purpose, we employ high quality microdata sets
from the German Socio-Economic ...",2023
